PACIFIC Exchange Rate Service
MMM YYYY KRW/HKD
Mar 2010 146.42
Apr 2010 143.69
May 2010 149.61
Jun 2010 155.98
Jul 2010 154.85
Aug 2010 151.94
Sep 2010 149.59
Oct 2010 144.70
Nov 2010 145.87
Dec 2010 147.36
Jan 2011 143.82
Feb 2011 143.56
Mar 2011 143.78
Apr 2011 139.53
May 2011 139.41
Jun 2011 138.84
Jul 2011 135.81
Aug 2011 137.91
Sep 2011 144.00
Oct 2011 147.99
Nov 2011 145.84
Dec 2011 147.65
Jan 2012 147.06
Feb 2012 144.81
Mar 2012 145.13
Apr 2012 146.31
May 2012 149.03
Jun 2012 150.02
Jul 2012 147.29
Aug 2012 145.98
Sep 2012 144.92
Oct 2012 142.69
Nov 2012 140.32
Dec 2012 138.85
Jan 2013 137.64
Feb 2013 140.27
Mar 2013 142.14
Apr 2013 144.44
May 2013 143.27
Jun 2013 146.33
Jul 2013 145.13
Aug 2013 143.98
Sep 2013 139.61
Oct 2013 137.54
Nov 2013 136.98
Dec 2013 136.21
Jan 2014 137.60
Feb 2014 138.12
Mar 2014 137.99
Apr 2014 134.53
May 2014 132.24
Jun 2014 131.47
Jul 2014 131.78
Aug 2014 132.14
Sep 2014 133.66
Oct 2014 136.76
Nov 2014 141.69
Dec 2014 142.34
Jan 2015 140.39
Feb 2015 142.15
Mar 2015 143.59
Apr 2015 140.07
May 2015 141.12
Jun 2015 143.67
Jul 2015 148.00
Aug 2015 152.06
Sep 2015 152.93
Oct 2015 147.64
Nov 2015 148.99
Dec 2015 151.60
Jan 2016 154.73
Feb 2016 156.37
Mar 2016 152.47
Apr 2016 147.87
May 2016 151.36
Jun 2016 150.21
Jul 2016 147.22
Aug 2016 143.25
Sep 2016 143.02
Oct 2016 145.56
Nov 2016 150.10
Dec 2016 152.49
Jan 2017 152.15
Feb 2017 147.09
Mar 2017 145.97
Apr 2017 146.03
May 2017 144.65
Jun 2017 145.11
Jul 2017 145.05
Aug 2017 144.66
Sep 2017 145.02
Oct 2017 145.06
Nov 2017 140.99
Dec 2017 138.81
Jan 2018 136.43
Feb 2018 138.00
Mar 2018 136.66
Apr 2018 136.19
May 2018 137.24
Jun 2018 139.57
Jul 2018 143.13
Aug 2018 142.79
Sep 2018 142.96
Oct 2018 144.48
Nov 2018 143.82
Dec 2018 143.58
Jan 2019 143.06
Feb 2019 143.02
Mar 2019 144.27
Apr 2019 145.72
May 2019 150.76
Jun 2019 149.86
Jul 2019 150.77
Aug 2019 154.38
Sep 2019 152.44
Oct 2019 150.91
Nov 2019 149.32
Dec 2019 150.50
Jan 2020 150.27
Feb 2020 153.81
Mar 2020 156.91
Apr 2020 157.83
May 2020 158.56
Jun 2020 155.78
Jul 2020 154.62
Aug 2020 153.06
Sep 2020 151.90
Oct 2020 147.62
Nov 2020 143.81
Dec 2020 141.22
Jan 2021 141.85
Feb 2021 143.48
Mar 2021 145.65
Apr 2021 143.84
May 2021 144.61
Jun 2021 144.66
Jul 2021 147.52
Aug 2021 149.21
Sep 2021 150.81
Oct 2021 151.82
Nov 2021 152.08
Dec 2021 151.83
Jan 2022 153.47
Feb 2022 153.67
Mar 2022 156.06
Apr 2022 157.78
May 2022 161.43
Jun 2022 162.99
Jul 2022 166.76
Aug 2022 168.47
Sep 2022 177.73
Oct 2022 181.84
Nov 2022 173.44
Dec 2022 166.48
Jan 2023 158.98
Feb 2023 162.89
Mar 2023 166.33
Apr 2023 168.62
May 2023 169.57
Jun 2023 165.55
Jul 2023 164.08
Aug 2023 169.10
Sep 2023 170.52
Oct 2023 172.67
Nov 2023 167.18
