Name of time-series,The Basic Discount Rate and Basic Loan Rate,"Call Rate, Uncollateralized Overnight/Average"
3-10,0.3,0.097
4-10,0.3,0.093
5-10,0.3,0.091
6-10,0.3,0.095
7-10,0.3,0.094
8-10,0.3,0.095
9-10,0.3,0.091
10-10,0.3,0.091
11-10,0.3,0.091
12-10,0.3,0.087
1-11,0.3,0.085
2-11,0.3,0.093
3-11,0.3,0.085
4-11,0.3,0.062
5-11,0.3,0.069
6-11,0.3,0.069
7-11,0.3,0.073
8-11,0.3,0.081
9-11,0.3,0.08
10-11,0.3,0.081
11-11,0.3,0.077
12-11,0.3,0.078
1-12,0.3,0.08
2-12,0.3,0.085
3-12,0.3,0.084
4-12,0.3,0.075
5-12,0.3,0.084
6-12,0.3,0.076
7-12,0.3,0.084
8-12,0.3,0.086
9-12,0.3,0.085
10-12,0.3,0.085
11-12,0.3,0.086
12-12,0.3,0.082
1-13,0.3,0.083
2-13,0.3,0.087
3-13,0.3,0.078
4-13,0.3,0.072
5-13,0.3,0.073
6-13,0.3,0.074
7-13,0.3,0.073
8-13,0.3,0.073
9-13,0.3,0.072
10-13,0.3,0.07
11-13,0.3,0.073
12-13,0.3,0.074
1-14,0.3,0.073
2-14,0.3,0.077
3-14,0.3,0.072
4-14,0.3,0.065
5-14,0.3,0.068
6-14,0.3,0.067
7-14,0.3,0.066
8-14,0.3,0.069
9-14,0.3,0.066
10-14,0.3,0.059
11-14,0.3,0.065
12-14,0.3,0.068
1-15,0.3,0.074
2-15,0.3,0.076
3-15,0.3,0.07
4-15,0.3,0.061
5-15,0.3,0.069
6-15,0.3,0.072
7-15,0.3,0.074
8-15,0.3,0.076
9-15,0.3,0.073
10-15,0.3,0.076
11-15,0.3,0.078
12-15,0.3,0.075
1-16,0.3,0.074
2-16,0.3,0.033
3-16,0.3,-0.003
4-16,0.3,-0.037
5-16,0.3,-0.059
6-16,0.3,-0.055
7-16,0.3,-0.043
8-16,0.3,-0.043
9-16,0.3,-0.052
10-16,0.3,-0.037
11-16,0.3,-0.049
12-16,0.3,-0.044
1-17,0.3,-0.045
2-17,0.3,-0.038
3-17,0.3,-0.042
4-17,0.3,-0.054
5-17,0.3,-0.053
6-17,0.3,-0.056
7-17,0.3,-0.054
8-17,0.3,-0.049
9-17,0.3,-0.058
10-17,0.3,-0.037
11-17,0.3,-0.048
12-17,0.3,-0.042
1-18,0.3,-0.04
2-18,0.3,-0.042
3-18,0.3,-0.062
4-18,0.3,-0.063
5-18,0.3,-0.061
6-18,0.3,-0.071
7-18,0.3,-0.07
8-18,0.3,-0.059
9-18,0.3,-0.059
10-18,0.3,-0.06
11-18,0.3,-0.07
12-18,0.3,-0.068
1-19,0.3,-0.064
2-19,0.3,-0.055
3-19,0.3,-0.044
4-19,0.3,-0.068
5-19,0.3,-0.05
6-19,0.3,-0.063
7-19,0.3,-0.071
8-19,0.3,-0.046
9-19,0.3,-0.059
10-19,0.3,-0.022
11-19,0.3,-0.043
12-19,0.3,-0.038
1-20,0.3,-0.032
2-20,0.3,-0.016
3-20,0.3,-0.047
4-20,0.3,-0.036
5-20,0.3,-0.047
6-20,0.3,-0.048
7-20,0.3,-0.028
8-20,0.3,-0.035
9-20,0.3,-0.054
10-20,0.3,-0.02
11-20,0.3,-0.032
12-20,0.3,-0.026
1-21,0.3,-0.017
2-21,0.3,-0.016
3-21,0.3,-0.017
4-21,0.3,-0.012
5-21,0.3,-0.017
6-21,0.3,-0.029
7-21,0.3,-0.036
8-21,0.3,-0.034
9-21,0.3,-0.022
10-21,0.3,-0.027
11-21,0.3,-0.04
12-21,0.3,-0.026
1-22,0.3,-0.02
2-22,0.3,-0.018
3-22,0.3,-0.008
4-22,0.3,-0.012
5-22,0.3,-0.018
6-22,0.3,-0.038
7-22,0.3,-0.012
8-22,0.3,-0.018
9-22,0.3,-0.049
10-22,0.3,-0.05
11-22,0.3,-0.067
12-22,0.3,-0.066
1-23,0.3,-0.02
2-23,0.3,-0.019
3-23,0.3,-0.017
4-23,0.3,-0.015
5-23,0.3,-0.051
6-23,0.3,-0.066
7-23,0.3,-0.046
8-23,0.3,-0.063
9-23,0.3,-0.054
10-23,0.3,-0.02
11-23,0.3,-0.015
