PACIFIC Exchange Rate Service
MMM YYYY KRW/JPY
Mar 2010 12.5283
Apr 2010 11.9386
May 2010 12.6663
Jun 2010 13.3757
Jul 2010 13.7579
Aug 2010 13.8381
Sep 2010 13.7694
Oct 2010 13.7362
Nov 2010 13.6995
Dec 2010 13.7527
Jan 2011 13.5345
Feb 2011 13.5449
Mar 2011 13.7226
Apr 2011 13.0286
May 2011 13.3669
Jun 2011 13.4393
Jul 2011 13.3523
Aug 2011 13.9707
Sep 2011 14.6177
Oct 2011 15.0181
Nov 2011 14.6361
Dec 2011 14.7586
Jan 2012 14.8347
Feb 2012 14.3050
Mar 2012 13.6610
Apr 2012 13.9805
May 2012 14.5222
Jun 2012 14.6761
Jul 2012 14.4699
Aug 2012 14.3839
Sep 2012 14.3807
Oct 2012 13.9997
Nov 2012 13.4111
Dec 2012 12.8628
Jan 2013 11.9784
Feb 2013 11.6977
Mar 2013 11.6340
Apr 2013 11.4737
May 2013 11.0273
Jun 2013 11.6815
Jul 2013 11.2913
Aug 2013 11.4195
Sep 2013 10.9117
Oct 2013 10.9061
Nov 2013 10.6012
Dec 2013 10.2150
Jan 2014 10.2862
Feb 2014 10.4932
Mar 2014 10.4651
Apr 2014 10.1821
May 2014 10.0699
Jun 2014 9.9858
Jul 2014 10.0358
Aug 2014 9.9474
Sep 2014 9.6464
Oct 2014 9.8204
Nov 2014 9.4416
Dec 2014 9.2499
Jan 2015 9.2074
Feb 2015 9.2835
Mar 2015 9.2521
Apr 2015 9.0819
May 2015 9.0523
Jun 2015 9.0033
Jul 2015 9.3047
Aug 2015 9.5911
Sep 2015 9.8656
Oct 2015 9.5311
Nov 2015 9.4160
Dec 2015 9.6558
Jan 2016 10.1893
Feb 2016 10.6253
Mar 2016 10.4782
Apr 2016 10.4705
May 2016 10.7878
Jun 2016 11.0712
Jul 2016 10.9653
Aug 2016 10.9793
Sep 2016 10.8988
Oct 2016 10.8677
Nov 2016 10.7201
Dec 2016 10.2060
Jan 2017 10.2753
Feb 2017 10.1088
Mar 2017 10.0393
Apr 2017 10.3047
May 2017 10.0346
Jun 2017 10.2032
Jul 2017 10.0795
Aug 2017 10.3072
Sep 2017 10.2255
Oct 2017 10.0259
Nov 2017 9.7602
Dec 2017 9.6037
Jan 2018 9.6243
Feb 2018 9.9975
Mar 2018 10.1000
Apr 2018 9.9319
May 2018 9.8268
Jun 2018 9.9499
Jul 2018 10.0742
Aug 2018 10.0994
Sep 2018 9.9967
Oct 2018 10.0410
Nov 2018 9.9388
Dec 2018 10.0005
Jan 2019 10.2971
Feb 2019 10.1637
Mar 2019 10.1872
Apr 2019 10.2394
May 2019 10.7598
Jun 2019 10.8525
Jul 2019 10.8800
Aug 2019 11.3971
Sep 2019 11.1065
Oct 2019 10.9448
Nov 2019 10.7352
Dec 2019 10.7711
Jan 2020 10.6859
Feb 2020 10.8685
Mar 2020 11.3246
Apr 2020 11.3583
May 2020 11.4633
Jun 2020 11.2211
Jul 2020 11.2316
Aug 2020 11.1888
Sep 2020 11.1520
Oct 2020 10.8752
Nov 2020 10.6820
Dec 2020 10.5482
Jan 2021 10.5975
Feb 2021 10.5560
Mar 2021 10.4014
Apr 2021 10.2550
May 2021 10.2889
Jun 2021 10.1963
Jul 2021 10.4043
Aug 2021 10.5718
Sep 2021 10.6581
Oct 2021 10.4428
Nov 2021 10.3895
Dec 2021 10.4000
Jan 2022 10.4158
Feb 2022 10.4005
Mar 2022 10.3002
Apr 2022 9.7891
May 2022 9.8346
Jun 2022 9.5443
Jul 2022 9.5708
Aug 2022 9.7634
Sep 2022 9.7415
Oct 2022 9.6963
Nov 2022 9.5456
Dec 2022 9.6002
Jan 2023 9.5371
Feb 2023 9.6083
Mar 2023 9.7712
Apr 2023 9.9127
May 2023 9.6950
Jun 2023 9.1740
Jul 2023 9.1005
Aug 2023 9.1327
Sep 2023 9.0286
Oct 2023 9.0295
Nov 2023 8.7182
